date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-24,Chemung,New York,1,0,0,0
2020-03-25,Chemung,New York,1,0,0,0
2020-03-26,Chemung,New York,7,0,6,0
2020-03-27,Chemung,New York,11,0,4,0
2020-03-28,Chemung,New York,12,0,1,0
2020-03-29,Chemung,New York,15,0,3,0
2020-03-30,Chemung,New York,15,0,0,0
2020-03-31,Chemung,New York,20,0,5,0
2020-04-01,Chemung,New York,22,0,2,0
2020-04-02,Chemung,New York,22,0,0,0
2020-04-03,Chemung,New York,22,0,0,0
